
time,gFx,gFy,gFz,wx,wy,wz,Latitude,Longitude,Speed (m/s),
1.3120,0.0443,-0.1203,0.9398,-0.0048,-0.0083,-0.0307,40.82833565,-96.69679066,18.48999977,
1.3130,0.0230,-0.1264,0.9492,-0.0048,-0.0083,-0.0307,40.82833565,-96.69679066,18.48999977,
1.3310,0.0230,-0.1264,0.9492,-0.0048,-0.0083,-0.0307,40.82833565,-96.69679066,18.48999977,
1.3790,0.0230,-0.1264,0.9492,0.0272,-0.0127,-0.0316,40.82833565,-96.69679066,18.48999977,
1.3800,0.0388,-0.1304,0.9969,0.0272,-0.0127,-0.0316,40.82833565,-96.69679066,18.48999977,
1.3980,0.0388,-0.1304,0.9969,0.0272,-0.0127,-0.0316,40.82833565,-96.69679066,18.48999977,
1.4460,0.0475,-0.1142,1.0365,0.0272,-0.0127,-0.0316,40.82848268,-96.69666092,19.07999992,
1.4480,0.0475,-0.1142,1.0365,0.0492,-0.0068,-0.0307,40.82848268,-96.69666092,19.07999992,
1.4660,0.0475,-0.1142,1.0365,0.0492,-0.0068,-0.0307,40.82848268,-96.69666092,19.07999992,
1.5130,0.0476,-0.1184,1.0637,0.0492,-0.0068,-0.0307,40.82848268,-96.69666092,19.07999992,
1.5150,0.0476,-0.1184,1.0637,0.0328,-0.0027,-0.0270,40.82848268,-96.69666092,19.07999992,
1.5330,0.0476,-0.1184,1.0637,0.0328,-0.0027,-0.0270,40.82848268,-96.69666092,19.07999992,
1.5810,0.0387,-0.0632,1.0321,0.0328,-0.0027,-0.0270,40.82848268,-96.69666092,19.07999992,
1.5840,0.0387,-0.0632,1.0321,0.0001,0.0063,-0.0269,40.82848268,-96.69666092,19.07999992,
1.6010,0.0387,-0.0632,1.0321,0.0001,0.0063,-0.0269,40.82848268,-96.69666092,19.07999992,
1.6480,0.0381,-0.0460,0.9971,0.0001,0.0063,-0.0269,40.82848268,-96.69666092,19.07999992,
1.6490,0.0381,-0.0460,0.9971,-0.0173,0.0018,-0.0262,40.82848268,-96.69666092,19.07999992,
1.6670,0.0381,-0.0460,0.9971,-0.0173,0.0018,-0.0262,40.82848268,-96.69666092,19.07999992,
1.7140,0.0339,-0.0370,0.9416,-0.0173,0.0018,-0.0262,40.82848268,-96.69666092,19.07999992,
1.7160,0.0339,-0.0370,0.9416,-0.0217,0.0006,-0.0269,40.82848268,-96.69666092,19.07999992,
1.7340,0.0339,-0.0370,0.9416,-0.0217,0.0006,-0.0269,40.82848268,-96.69666092,19.07999992,
1.7810,0.0223,-0.0476,0.9438,-0.0217,0.0006,-0.0269,40.82848268,-96.69666092,19.07999992,
1.7820,0.0223,-0.0476,0.9438,-0.0192,-0.0055,-0.0295,40.82848268,-96.69666092,19.07999992,
1.8010,0.0223,-0.0476,0.9438,-0.0192,-0.0055,-0.0295,40.82848268,-96.69666092,19.07999992,
