
time,gFx,gFy,gFz,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0870,-0.0090,-0.0483,0.9751,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0990,-0.0090,-0.0483,0.9751,-0.0053,-0.0158,-0.0127,40.82819152,-96.69692868,18.11000061,
0.1360,-0.0026,-0.0510,0.9955,-0.0053,-0.0158,-0.0127,40.82819152,-96.69692868,18.11000061,
0.1660,-0.0026,-0.0510,0.9955,0.0108,-0.0214,-0.0141,40.82819152,-96.69692868,18.11000061,
0.2040,0.0152,-0.0510,0.9981,0.0108,-0.0214,-0.0141,40.82819152,-96.69692868,18.11000061,
0.2060,0.0152,-0.0510,0.9981,0.0108,-0.0214,-0.0141,40.82819152,-96.69692868,18.11000061,
0.2340,0.0152,-0.0510,0.9981,0.0197,-0.0129,-0.0155,40.82819152,-96.69692868,18.11000061,
0.2700,0.0076,-0.0689,0.9993,0.0197,-0.0129,-0.0155,40.82819152,-96.69692868,18.11000061,
0.2720,0.0076,-0.0689,0.9993,0.0197,-0.0129,-0.0155,40.82819152,-96.69692868,18.11000061,
0.3000,0.0076,-0.0689,0.9993,-0.0011,-0.0094,-0.0119,40.82819152,-96.69692868,18.11000061,
0.3390,0.0092,-0.0789,0.9979,-0.0011,-0.0094,-0.0119,40.82819152,-96.69692868,18.11000061,
0.3410,0.0092,-0.0789,0.9979,-0.0011,-0.0094,-0.0119,40.82819152,-96.69692868,18.11000061,
0.3680,0.0092,-0.0789,0.9979,-0.0196,0.0046,-0.0080,40.82819152,-96.69692868,18.11000061,
0.4100,0.0015,-0.1062,0.9849,-0.0196,0.0046,-0.0080,40.82819152,-96.69692868,18.11000061,
0.4110,0.0015,-0.1062,0.9849,-0.0196,0.0046,-0.0080,40.82819152,-96.69692868,18.11000061,
0.4340,0.0015,-0.1062,0.9849,-0.0309,0.0001,-0.0070,40.82819152,-96.69692868,18.11000061,
0.4740,0.0015,-0.1062,0.9849,-0.0309,0.0001,-0.0070,40.82819152,-96.69692868,18.11000061,
0.4750,-0.0003,-0.1086,0.9795,-0.0309,0.0001,-0.0070,40.82819152,-96.69692868,18.11000061,
0.5020,-0.0003,-0.1086,0.9795,-0.0275,-0.0050,-0.0073,40.82819152,-96.69692868,18.11000061,
0.5410,-0.0057,-0.1199,0.9969,-0.0275,-0.0050,-0.0073,40.82819152,-96.69692868,18.11000061,
0.5420,-0.0057,-0.1199,0.9969,-0.0275,-0.0050,-0.0073,40.82819152,-96.69692868,18.11000061,
0.5690,-0.0057,-0.1199,0.9969,-0.0011,-0.0097,-0.0106,40.82819152,-96.69692868,18.11000061,
0.6110,-0.0057,-0.1199,0.9969,-0.0011,-0.0097,-0.0106,40.82819152,-96.69692868,18.11000061,
0.6120,0.0031,-0.1250,0.9771,-0.0011,-0.0097,-0.0106,40.82819152,-96.69692868,18.11000061,
0.6370,0.0031,-0.1250,0.9771,0.0176,0.0009,-0.0110,40.82819152,-96.69692868,18.11000061,
0.6760,-0.0029,-0.1121,0.9942,0.0176,0.0009,-0.0110,40.82819152,-96.69692868,18.11000061,
0.6780,-0.0029,-0.1121,0.9942,0.0176,0.0009,-0.0110,40.82819152,-96.69692868,18.11000061,
0.7040,-0.0029,-0.1121,0.9942,0.0097,-0.0043,-0.0113,40.82819152,-96.69692868,18.11000061,
0.7480,0.0067,-0.1182,0.9832,0.0097,-0.0043,-0.0113,40.82819152,-96.69692868,18.11000061,
0.7490,0.0067,-0.1182,0.9832,0.0097,-0.0043,-0.0113,40.82819152,-96.69692868,18.11000061,
0.7710,0.0067,-0.1182,0.9832,-0.0046,-0.0055,-0.0113,40.82819152,-96.69692868,18.11000061,
0.8120,0.0124,-0.1009,0.9679,-0.0046,-0.0055,-0.0113,40.82830307,-96.69682261,18.23999977,
0.8150,0.0124,-0.1009,0.9679,-0.0046,-0.0055,-0.0113,40.82830307,-96.69682261,18.23999977,
0.8430,0.0124,-0.1009,0.9679,-0.0213,-0.0034,-0.0110,40.82830307,-96.69682261,18.23999977,
0.8800,0.0021,-0.1196,0.9699,-0.0213,-0.0034,-0.0110,40.82830307,-96.69682261,18.23999977,
0.8810,0.0021,-0.1196,0.9699,-0.0213,-0.0034,-0.0110,40.82830307,-96.69682261,18.23999977,
0.9100,0.0021,-0.1196,0.9699,-0.0275,-0.0006,-0.0145,40.82830307,-96.69682261,18.23999977,
0.9450,0.0021,-0.1196,0.9699,-0.0275,-0.0006,-0.0145,40.82830307,-96.69682261,18.23999977,
0.9470,0.0062,-0.1162,0.9608,-0.0275,-0.0006,-0.0145,40.82830307,-96.69682261,18.23999977,
0.9760,0.0062,-0.1162,0.9608,-0.0208,0.0023,-0.0167,40.82830307,-96.69682261,18.23999977,
1.0110,0.0062,-0.1162,0.9608,-0.0208,0.0023,-0.0167,40.82830307,-96.69682261,18.23999977,
1.0130,0.0194,-0.1178,0.9654,-0.0208,0.0023,-0.0167,40.82830307,-96.69682261,18.23999977,
1.0420,0.0194,-0.1178,0.9654,-0.0121,-0.0013,-0.0180,40.82830307,-96.69682261,18.23999977,
1.0820,0.0152,-0.1170,0.9474,-0.0121,-0.0013,-0.0180,40.82830307,-96.69682261,18.23999977,
1.0850,0.0152,-0.1170,0.9474,-0.0121,-0.0013,-0.0180,40.82830307,-96.69682261,18.23999977,
1.1100,0.0152,-0.1170,0.9474,-0.0023,-0.0048,-0.0178,40.82830307,-96.69682261,18.23999977,
1.1490,0.0152,-0.1170,0.9474,-0.0023,-0.0048,-0.0178,40.82830307,-96.69682261,18.23999977,
1.1510,0.0192,-0.1206,0.9606,-0.0023,-0.0048,-0.0178,40.82830307,-96.69682261,18.23999977,
1.1760,0.0192,-0.1206,0.9606,-0.0046,0.0030,-0.0164,40.82830307,-96.69682261,18.23999977,
1.2150,0.0134,-0.1042,0.9781,-0.0046,0.0030,-0.0164,40.82830307,-96.69682261,18.23999977,
1.2180,0.0134,-0.1042,0.9781,-0.0046,0.0030,-0.0164,40.82830307,-96.69682261,18.23999977,
1.2450,0.0134,-0.1042,0.9781,-0.0140,0.0013,-0.0159,40.82830307,-96.69682261,18.23999977,
1.2830,0.0134,-0.1042,0.9781,-0.0140,0.0013,-0.0159,40.82830307,-96.69682261,18.23999977,
1.2840,0.0114,-0.1210,0.9699,-0.0140,0.0013,-0.0159,40.82830307,-96.69682261,18.23999977,
1.3110,0.0114,-0.1210,0.9699,-0.0128,-0.0043,-0.0167,40.82830307,-96.69682261,18.23999977,
1.3490,0.0114,-0.1210,0.9699,-0.0128,-0.0043,-0.0167,40.82830307,-96.69682261,18.23999977,
1.3520,0.0154,-0.1161,0.9848,-0.0128,-0.0043,-0.0167,40.82830307,-96.69682261,18.23999977,
1.3800,0.0154,-0.1161,0.9848,-0.0077,-0.0031,-0.0162,40.82830307,-96.69682261,18.23999977,
1.4170,0.0154,-0.1161,0.9848,-0.0077,-0.0031,-0.0162,40.82830307,-96.69682261,18.23999977,
1.4180,0.0066,-0.1211,0.9791,-0.0077,-0.0031,-0.0162,40.82830307,-96.69682261,18.23999977,
1.4460,0.0066,-0.1211,0.9791,0.0013,-0.0078,-0.0180,40.82830307,-96.69682261,18.23999977,
1.4850,0.0066,-0.1211,0.9791,0.0013,-0.0078,-0.0180,40.82830307,-96.69682261,18.23999977,
1.4880,0.0098,-0.1314,1.0009,0.0013,-0.0078,-0.0180,40.82830307,-96.69682261,18.23999977,
1.5120,0.0098,-0.1314,1.0009,0.0031,-0.0038,-0.0176,40.82830307,-96.69682261,18.23999977,
1.5510,0.0098,-0.1314,1.0009,0.0031,-0.0038,-0.0176,40.82830307,-96.69682261,18.23999977,
1.5530,0.0206,-0.1150,0.9903,0.0031,-0.0038,-0.0176,40.82830307,-96.69682261,18.23999977,
1.5790,0.0206,-0.1150,0.9903,0.0003,-0.0057,-0.0174,40.82830307,-96.69682261,18.23999977,
1.6190,0.0206,-0.1150,0.9903,0.0003,-0.0057,-0.0174,40.82830307,-96.69682261,18.23999977,
1.6200,0.0116,-0.1346,1.0016,0.0003,-0.0057,-0.0174,40.82830307,-96.69682261,18.23999977,
1.6450,0.0116,-0.1346,1.0016,0.0066,-0.0061,-0.0174,40.82830307,-96.69682261,18.23999977,
1.6850,0.0116,-0.1346,1.0016,0.0066,-0.0061,-0.0174,40.82830307,-96.69682261,18.23999977,
