
time,gFx,gFy,gFz,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0660,-0.0119,-0.0044,0.9542,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0940,-0.0119,-0.0044,0.9542,-0.0096,-0.0050,-0.0042,40.82820462,-96.69687369,19.42000008,
0.1030,-0.0092,0.0225,1.0197,-0.0096,-0.0050,-0.0042,40.82820462,-96.69687369,19.42000008,
0.1610,-0.0092,0.0225,1.0197,0.0092,0.0097,-0.0021,40.82820462,-96.69687369,19.42000008,
0.1690,-0.0323,-0.0030,0.9957,0.0092,0.0097,-0.0021,40.82820462,-96.69687369,19.42000008,
0.1910,-0.0323,-0.0030,0.9957,0.0092,0.0097,-0.0021,40.82820462,-96.69687369,19.42000008,
0.2280,-0.0323,-0.0030,0.9957,0.0134,0.0011,-0.0009,40.82820462,-96.69687369,19.42000008,
0.2400,-0.0229,0.0004,1.0026,0.0134,0.0011,-0.0009,40.82820462,-96.69687369,19.42000008,
0.2590,-0.0229,0.0004,1.0026,0.0134,0.0011,-0.0009,40.82820462,-96.69687369,19.42000008,
0.2950,-0.0229,0.0004,1.0026,-0.0016,-0.0193,-0.0024,40.82820462,-96.69687369,19.42000008,
0.3060,-0.0163,0.0172,1.0133,-0.0016,-0.0193,-0.0024,40.82820462,-96.69687369,19.42000008,
0.3240,-0.0163,0.0172,1.0133,-0.0016,-0.0193,-0.0024,40.82820462,-96.69687369,19.42000008,
0.3640,-0.0163,0.0172,1.0133,-0.0224,0.0046,-0.0035,40.82820462,-96.69687369,19.42000008,
0.3740,-0.0361,0.0069,0.9434,-0.0224,0.0046,-0.0035,40.82820462,-96.69687369,19.42000008,
0.3920,-0.0361,0.0069,0.9434,-0.0224,0.0046,-0.0035,40.82820462,-96.69687369,19.42000008,
0.4320,-0.0361,0.0069,0.9434,-0.0203,0.0001,-0.0045,40.82820462,-96.69687369,19.42000008,
0.4410,-0.0086,0.0096,0.9707,-0.0203,0.0001,-0.0045,40.82820462,-96.69687369,19.42000008,
0.4600,-0.0086,0.0096,0.9707,-0.0203,0.0001,-0.0045,40.82820462,-96.69687369,19.42000008,
0.4970,-0.0086,0.0096,0.9707,-0.0290,0.0053,-0.0044,40.82820462,-96.69687369,19.42000008,
0.5080,-0.0158,-0.0014,0.9636,-0.0290,0.0053,-0.0044,40.82820462,-96.69687369,19.42000008,
0.5270,-0.0158,-0.0014,0.9636,-0.0290,0.0053,-0.0044,40.82820462,-96.69687369,19.42000008,
0.5640,-0.0158,-0.0014,0.9636,-0.0074,0.0102,-0.0051,40.82820462,-96.69687369,19.42000008,
0.5740,-0.0226,-0.0031,0.9756,-0.0074,0.0102,-0.0051,40.82820462,-96.69687369,19.42000008,
0.5930,-0.0226,-0.0031,0.9756,-0.0074,0.0102,-0.0051,40.82820462,-96.69687369,19.42000008,
0.6340,-0.0226,-0.0031,0.9756,-0.0041,-0.0102,-0.0051,40.82820462,-96.69687369,19.42000008,
0.6450,-0.0151,-0.0024,0.9721,-0.0041,-0.0102,-0.0051,40.82820462,-96.69687369,19.42000008,
0.6600,-0.0151,-0.0024,0.9721,-0.0041,-0.0102,-0.0051,40.82820462,-96.69687369,19.42000008,
0.6990,-0.0151,-0.0024,0.9721,-0.0102,-0.0006,-0.0049,40.82833891,-96.69672382,19.95000076,
0.7080,-0.0148,0.0019,0.9655,-0.0102,-0.0006,-0.0049,40.82833891,-96.69672382,19.95000076,
0.7290,-0.0148,0.0019,0.9655,-0.0102,-0.0006,-0.0049,40.82833891,-96.69672382,19.95000076,
0.7660,-0.0148,0.0019,0.9655,-0.0247,0.0053,-0.0056,40.82833891,-96.69672382,19.95000076,
0.7760,-0.0228,-0.0004,0.9662,-0.0247,0.0053,-0.0056,40.82833891,-96.69672382,19.95000076,
0.7960,-0.0228,-0.0004,0.9662,-0.0247,0.0053,-0.0056,40.82833891,-96.69672382,19.95000076,
0.8340,-0.0228,-0.0004,0.9662,-0.0196,-0.0139,-0.0063,40.82833891,-96.69672382,19.95000076,
0.8430,-0.0053,-0.0078,0.9766,-0.0196,-0.0139,-0.0063,40.82833891,-96.69672382,19.95000076,
0.8620,-0.0053,-0.0078,0.9766,-0.0196,-0.0139,-0.0063,40.82833891,-96.69672382,19.95000076,
0.9010,-0.0053,-0.0078,0.9766,-0.0004,0.0021,-0.0071,40.82833891,-96.69672382,19.95000076,
0.9110,-0.0205,0.0041,0.9956,-0.0004,0.0021,-0.0071,40.82833891,-96.69672382,19.95000076,
0.9300,-0.0205,0.0041,0.9956,-0.0004,0.0021,-0.0071,40.82833891,-96.69672382,19.95000076,
