
        AX        AY        AZ         WX        WY        WZ     AngleX    AngleY    AngleZ
      0.05      0.00      0.15      -0.01     -0.00     -0.00       2.47    -18.48     -0.37  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.52    -18.53     -0.37  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.66    -18.50     -0.38  
      0.05      0.01      0.15      -0.00      0.00     -0.00       2.64    -18.48     -0.38  
      0.05      0.00      0.15      -0.01      0.00     -0.00       2.50    -18.46     -0.41  
      0.05      0.01      0.15       0.00     -0.00     -0.00       2.51    -18.52     -0.43  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.66    -18.50     -0.45  
      0.05      0.01      0.15       0.00      0.00     -0.00       2.70    -18.49     -0.47  
      0.05      0.00      0.15      -0.01      0.00     -0.00       2.57    -18.45     -0.48  
      0.05      0.00      0.15      -0.00     -0.00      0.00       2.50    -18.49     -0.48  
      0.05      0.01      0.15       0.01     -0.00      0.00       2.61    -18.52     -0.47  
      0.05      0.01      0.15       0.00      0.00      0.00       2.71    -18.50     -0.45  
      0.05      0.01      0.15      -0.00      0.00      0.00       2.60    -18.46     -0.44  
      0.05      0.00      0.15      -0.01     -0.00     -0.00       2.49    -18.48     -0.44  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.54    -18.52     -0.44  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.69    -18.50     -0.45  
      0.05      0.01      0.15      -0.00      0.00     -0.00       2.66    -18.48     -0.46  
      0.05      0.00      0.15      -0.01      0.00     -0.00       2.52    -18.46     -0.48  
      0.05      0.00      0.15      -0.00     -0.00     -0.00       2.50    -18.51     -0.48  
      0.05      0.01      0.15       0.01     -0.00      0.00       2.64    -18.52     -0.48  
      0.05      0.01      0.15       0.00      0.00      0.00       2.72    -18.51     -0.46  
      0.05      0.01      0.15      -0.01      0.00     -0.00       2.59    -18.47     -0.46  
      0.05      0.00      0.14      -0.00     -0.00      0.00       2.49    -18.54     -0.46  
      0.05      0.01      0.15       0.00      0.00      0.00       2.55    -18.56     -0.46  
